k,topic_proportion
1,0.36416790837760715
2,0.01738944198613481
3,0.05817815309825041
4,0.028059707596580358
5,0.021161875518949075
6,0.06801347236190909
7,0.09233443271164378
8,0.06782491525961848
9,0.024321175597568346
10,0.05087640846074659
11,0.034103543894145424
12,0.03304387880901221
13,0.051522797705242845
14,0.07568619664073468
15,0.01331609198185676
