k,m,u_mass,c_v,c_uci,c_npmi,alpha,eta
10,30,-4.8574485553833195,0.3666508515845819,-0.8983436191240999,-0.02070112234017055,1,0.1
10,10,-4.117416235189004,0.4056513279613993,-0.4532148568698773,0.0071380365524484814,1,0.5
10,20,-5.05796596041255,0.3812081341833506,-1.1212285578147072,-0.019904775917394493,1,0.5
10,30,-5.599202291246569,0.3831854124753256,-1.5580757307056685,-0.04176043464429807,1,0.5
10,10,-4.654388237269964,0.36784822695399333,-1.0231526369289718,-0.017967977051223903,1,1.0
10,20,-5.615764802168508,0.3545376476722645,-1.6417785577309778,-0.04135539834763184,1,1.0
10,30,-6.372685439412975,0.38485333920715553,-2.2110687902720185,-0.06538826940955438,1,1.0
10,10,-3.321414140960266,0.45926072863778594,0.12621622773309418,0.03029171749665211,10,0.001
10,20,-3.602175250362818,0.41124861574270605,0.08184626892740011,0.020947595945900708,10,0.001
10,30,-4.072191551874576,0.3713547422752338,-0.14554314145123254,0.00808317679037647,10,0.001
10,10,-3.3197325803932975,0.4579628577707989,0.11746268995713234,0.028345834107680285,10,0.01
10,20,-3.604352629802784,0.41418946278263646,0.09142688879366247,0.022616396020805236,10,0.01
10,30,-4.07423154386846,0.36950902757635495,-0.15520453171616527,0.007044491540440868,10,0.01
10,10,-3.3142000079516776,0.4507445522792108,0.09429405658042042,0.02453970899254226,10,0.1
10,20,-3.7847888396481735,0.4005800277530126,-0.0635033302380886,0.014840640235088007,10,0.1
10,30,-4.121534459912978,0.3730322443120223,-0.19736270461038125,0.004646301597150846,10,0.1
10,10,-3.3559029206725355,0.44867064100473836,0.08955894297991265,0.02368159285329976,10,0.5
10,20,-3.6354353686125913,0.4069361149925396,0.01839743565143983,0.018958453991450876,10,0.5
10,30,-4.055902074026436,0.3768814209831824,-0.1524159758885695,0.0074945174804262864,10,0.5
10,10,-3.352897057447572,0.4388035540173095,0.06809323999402572,0.020256363710557744,10,1.0
10,20,-3.6447806325522314,0.39817645392700707,0.009074386277122589,0.016906965412780632,10,1.0
10,30,-4.090186488103561,0.3698415121930612,-0.21141246751155993,0.004720530224606667,10,1.0
10,10,-2.55090138100526,0.24028580902291435,-0.1519764371419451,-0.021212173657577178,50,0.001
10,20,-2.841858926515387,0.2294238424140743,-0.13157470134161112,-0.01622059623688372,50,0.001
10,30,-3.07868446451809,0.2372843841242415,-0.1295133745373766,-0.01490185113641799,50,0.001
10,10,-2.55090138100526,0.24028580902291435,-0.1519764371419451,-0.021212173657577178,50,0.01
10,20,-2.8420102836681638,0.2294238424140743,-0.13157470134161112,-0.01622059623688372,50,0.01
10,30,-3.0830764946789357,0.23714376267244056,-0.1302106849051695,-0.015033097144102118,50,0.01
10,10,-2.5511401884121496,0.24028580902291438,-0.1519764371419451,-0.021212173657577178,50,0.1
10,20,-2.8427082183521426,0.2315420393075474,-0.13045633988446628,-0.01598763052182183,50,0.1
10,30,-3.0781578703247745,0.2350615615104111,-0.13120690555034017,-0.015126300485146637,50,0.1
10,10,-2.552544202908051,0.24028580902291438,-0.1519764371419451,-0.021212173657577174,50,0.5
10,20,-2.841379766224474,0.23021406868427477,-0.13125325860491144,-0.016223938390982857,50,0.5
10,30,-3.0793770127952134,0.2348505841286131,-0.13204089249891948,-0.015267174196497943,50,0.5
10,10,-2.5542456310916024,0.24028580902291438,-0.1519764371419451,-0.021212173657577178,50,1.0
10,20,-2.8434173342593003,0.23021406868427477,-0.13125325860491144,-0.016223938390982857,50,1.0
10,30,-3.067829077370315,0.23359958869718947,-0.13366004603562837,-0.015527504012543788,50,1.0
10,10,-2.5341992596090703,0.21586379062486188,-0.18409729784308904,-0.027872968450305256,100,0.001
10,20,-2.8327609091681625,0.22347905579699184,-0.13336752440263813,-0.017024284113316593,100,0.001
10,30,-3.0671810611328674,0.2273958139075622,-0.13913800088224385,-0.016546197929720473,100,0.001
10,10,-2.5341992596090703,0.21586379062486188,-0.18409729784308904,-0.027872968450305256,100,0.01
10,20,-2.8328856495284507,0.22347905579699184,-0.13336752440263813,-0.017024284113316593,100,0.01
10,30,-3.06727328164155,0.2273958139075622,-0.13913800088224385,-0.016546197929720473,100,0.01
10,10,-2.5341992596090703,0.21586379062486188,-0.18409729784308904,-0.027872968450305256,100,0.1
10,20,-2.836659218562042,0.22479319599624664,-0.13252318147598668,-0.016750902615164664,100,0.1
10,30,-3.0675479264668013,0.2273958139075622,-0.13913800088224385,-0.016546197929720473,100,0.1
10,10,-2.5347547966332016,0.21586379062486188,-0.184097297843089,-0.027872968450305256,100,0.5
10,20,-2.835484834433539,0.21799493396504754,-0.1394895101727634,-0.018123602905251893,100,0.5
10,30,-3.0677862090744488,0.22550248398233425,-0.14081245290251213,-0.01679375323345051,100,0.5
10,10,-2.53390725324486,0.21590691645489332,-0.1845888051447985,-0.027871961040470628,100,1.0
10,20,-2.835602076893481,0.21549461212567902,-0.14217130451330512,-0.018610949067861725,100,1.0
10,30,-3.0669127066842727,0.22478096000105546,-0.1416717393762077,-0.01694694421903557,100,1.0
10,10,-2.536690291172243,0.21590691645489332,-0.1845888051447985,-0.027871961040470628,250,0.001
10,20,-2.8189347864216936,0.20710012688390958,-0.14828666494456372,-0.020054208014061218,250,0.001
10,30,-3.0644361573013117,0.22264231895291822,-0.14275200882491818,-0.017159223780645414,250,0.001
10,10,-2.536690291172243,0.21590691645489332,-0.1845888051447985,-0.027871961040470628,250,0.01
10,20,-2.8189347864216936,0.20710012688390958,-0.14828666494456372,-0.020054208014061218,250,0.01
10,30,-3.0644361573013117,0.22264231895291822,-0.14275200882491818,-0.017159223780645414,250,0.01
10,10,-2.536690291172243,0.21590691645489332,-0.1845888051447985,-0.027871961040470628,250,0.1
10,20,-2.8192515696384515,0.20710012688390958,-0.14828666494456372,-0.020054208014061218,250,0.1
10,30,-3.0647468772447803,0.22264231895291822,-0.14275200882491818,-0.017159223780645414,250,0.1
10,10,-2.536690291172243,0.21590691645489332,-0.1845888051447985,-0.027871961040470628,250,0.5
10,20,-2.820482806210795,0.20589480215719652,-0.14884219145986974,-0.02019802419871553,250,0.5
10,30,-3.065857180930032,0.22264231895291822,-0.14275200882491818,-0.017159223780645414,250,0.5
10,10,-2.536690291172243,0.21590691645489332,-0.1845888051447985,-0.027871961040470628,250,1.0
10,20,-2.819251137222003,0.20127771012836587,-0.15458097472712828,-0.021164167023687633,250,1.0
10,30,-3.0630538033856656,0.2202165121900183,-0.1453757329692238,-0.017575318839775603,250,1.0
15,10,-3.632379212624514,0.48094387907007796,0.14334209280584276,0.03920588671708155,1,0.001
15,20,-4.497354996375236,0.38943458793441116,-0.5537401509991167,-0.0025791775268748643,1,0.001
15,30,-5.15902341649353,0.36252495432974996,-1.0322168554502171,-0.02501602348240294,1,0.001
15,10,-3.613915259837165,0.4796092660703868,0.1256992160379868,0.03903893282710926,1,0.01
15,20,-4.571135582799927,0.38616688465447296,-0.5829775890479232,-0.00409278391812158,1,0.01
15,30,-5.131843814643293,0.36350386831445836,-1.0050129770223737,-0.023490260334859688,1,0.01
15,10,-3.84557067450213,0.468250026088065,-0.09444632000491546,0.030951025201734768,1,0.1
15,20,-4.6726932323815005,0.3773802167677331,-0.6623164149987465,-0.005954722960494995,1,0.1
15,30,-5.313140370799318,0.351893592659267,-1.193009697726917,-0.03116822328842655,1,0.1
15,10,-4.389675978979567,0.47368151249658125,-0.37172715695872305,0.02616136223372643,1,0.5
15,20,-5.327837702662807,0.39070725167711495,-1.2436089969332167,-0.023828186776680867,1,0.5
15,30,-5.867217253447594,0.3735592805795037,-1.7114820554401018,-0.0475789792327492,1,0.5
15,10,-5.908663695838337,0.41082775677753514,-1.9173294455739727,-0.034619950262953995,1,1.0
15,20,-7.484412791286384,0.41115587513463886,-3.0138626054963242,-0.08498161471868473,1,1.0
15,30,-8.702640068062601,0.44541017212951556,-3.9767430580096903,-0.1251292877202091,1,1.0
15,10,-3.6538834588928824,0.4654860757424672,0.12981172501505278,0.030320015312513316,10,0.001
15,20,-4.508206950163071,0.3796848647114474,-0.3072479366929014,0.0047457709767892995,10,0.001
15,30,-5.6391296085808555,0.32420137367536694,-1.2199370173495425,-0.03369344293991626,10,0.001
15,10,-3.6405971585057952,0.46628868774206883,0.13070685654965078,0.03042117161934691,10,0.01
15,20,-4.5195208699334275,0.3788332067171686,-0.3131574258449693,0.004481279209523541,10,0.01
15,30,-5.604388426813942,0.3260272484410728,-1.199437354762701,-0.0329651877007769,10,0.01
15,10,-3.7610608117757667,0.46209234065058796,0.09713245847507249,0.028660507470141643,10,0.1
15,20,-4.480615187532255,0.3861445696116874,-0.32884991712928613,0.005314381461075365,10,0.1
15,30,-5.408433595979928,0.3229382112897199,-1.0468914335591932,-0.02678711563332974,10,0.1
15,10,-3.9169037765220343,0.45392190546635547,-0.019365943478975047,0.025489875538239132,10,0.5
15,20,-4.740267780584281,0.3688993131108633,-0.5027582690064624,-0.0030498924811522155,10,0.5
15,30,-5.6117030990957115,0.3368986701701971,-1.2284536385803138,-0.03276696764007981,10,0.5
15,10,-4.076519361122083,0.4459890292150373,-0.14804646740240385,0.021294755519194696,10,1.0
15,20,-4.840358799415043,0.3637070600921068,-0.6100803892857058,-0.006780568899920052,10,1.0
15,30,-5.764344528757276,0.33839680876992123,-1.3774230520327435,-0.03754953593376538,10,1.0
15,10,-2.544598855805629,0.2545019471026628,-0.14512302397125557,-0.019462415371514163,50,0.001
15,20,-2.852575099300164,0.23733377504101633,-0.12200215155660642,-0.01445300581582232,50,0.001
15,30,-3.097854594670204,0.23589228175060803,-0.12979451227784103,-0.014634820276738271,50,0.001
15,10,-2.544598855805629,0.2545019471026628,-0.14512302397125557,-0.019462415371514163,50,0.01
15,20,-2.852602523052086,0.23733377504101633,-0.12200215155660642,-0.01445300581582232,50,0.01
15,30,-3.0843297578877245,0.23604951608598135,-0.12861617555484062,-0.01454727959455766,50,0.01
15,10,-2.540841143678749,0.23907991566520984,-0.15171168262971127,-0.02104652372325238,50,0.1
15,20,-2.8529066657903797,0.23733377504101635,-0.12200215155660642,-0.01445300581582232,50,0.1
15,30,-3.0918781762131418,0.2363857451453109,-0.12779849277459326,-0.014366643992959218,50,0.1
15,10,-2.541474484440564,0.23690305376143794,-0.1566684544706856,-0.02187949050551589,50,0.5
15,20,-2.8416626236418847,0.2295938673088228,-0.12773152204489593,-0.015458553149448872,50,0.5
15,30,-3.084152860855635,0.2336129780165364,-0.1312706876292926,-0.014917688743443925,50,0.5
15,10,-2.5428774326631483,0.23690305376143794,-0.1566684544706856,-0.02187949050551589,50,1.0
15,20,-2.839891330381857,0.23510842339671775,-0.12402552218983692,-0.014796812455554071,50,1.0
15,30,-3.0804200238682076,0.23090441351860397,-0.13270801604854293,-0.015200060928819373,50,1.0
15,10,-2.533100986114959,0.23315293155867786,-0.1599584024518589,-0.022319955898861578,100,0.001
15,20,-2.836767502218619,0.22401995780212947,-0.13380655525529747,-0.016834021974920545,100,0.001
15,30,-3.0596939849278697,0.23115527651729384,-0.12997830545128378,-0.014944223630770356,100,0.001
15,10,-2.533100986114959,0.23315293155867786,-0.1599584024518589,-0.022319955898861578,100,0.01
15,20,-2.836825482706698,0.22401995780212947,-0.13380655525529747,-0.016834021974920545,100,0.01
15,30,-3.0597774064009777,0.23115527651729384,-0.1299783054512838,-0.014944223630770356,100,0.01
15,10,-2.5319059953377727,0.23315293155867786,-0.1599584024518589,-0.022319955898861578,100,0.1
15,20,-2.8367642065268353,0.22401995780212947,-0.13380655525529747,-0.016834021974920545,100,0.1
15,30,-3.062715613960559,0.22987178312061346,-0.13202651737260643,-0.015266523441146306,100,0.1
15,10,-2.5335247948660307,0.23315293155867786,-0.1599584024518589,-0.022319955898861578,100,0.5
15,20,-2.836079658946174,0.21990366199097566,-0.13800545502642383,-0.01768914221482747,100,0.5
15,30,-3.0593270558867887,0.2289823432605894,-0.1337557656719555,-0.015567711939176963,100,0.5
15,10,-2.5335247948660307,0.23315293155867786,-0.1599584024518589,-0.022319955898861578,100,1.0
15,20,-2.8343412679369804,0.21721525500573294,-0.13959410068917716,-0.01794144220890636,100,1.0
15,30,-3.0553920433851243,0.2285632394573046,-0.13318833167106683,-0.015466943106453905,100,1.0
15,10,-2.5387652039841715,0.2315910816588899,-0.1632683265260897,-0.022882644958656898,250,0.001
15,20,-2.8335311584792295,0.21712763619080275,-0.14181563093404842,-0.018434161898383136,250,0.001
15,30,-3.056335632000491,0.2274547984728312,-0.13519574433448006,-0.015876539085470046,250,0.001
15,10,-2.5387652039841715,0.2315910816588899,-0.1632683265260897,-0.022882644958656898,250,0.01
15,20,-2.8335311584792295,0.21712763619080275,-0.14181563093404842,-0.018434161898383136,250,0.01
15,30,-3.056394785750749,0.2274547984728312,-0.13519574433448006,-0.015876539085470046,250,0.01
15,10,-2.535885950858138,0.22150622424579483,-0.17732581189753197,-0.0259926243063445,250,0.1
15,20,-2.833657359850909,0.21712763619080275,-0.14181563093404842,-0.01843416189838314,250,0.1
15,30,-3.0538801631290875,0.226958912314594,-0.13541543895471622,-0.015924371927376432,250,0.1
15,10,-2.523527122376126,0.2182340685826013,-0.18196540876619346,-0.0271393218264888,250,0.5
15,20,-2.821296245184993,0.20818549376689657,-0.1470907413225528,-0.019567770398269346,250,0.5
15,30,-3.0549980801447774,0.22422327798398134,-0.13813701926060298,-0.01636272366818613,250,0.5
15,10,-2.5226119047768125,0.21856776786836588,-0.18085422539402482,-0.02697803142458948,250,1.0
15,20,-2.8217217202491183,0.20818549376689657,-0.1470907413225528,-0.019567770398269346,250,1.0
15,30,-3.0563683137394038,0.22422327798398134,-0.13813701926060298,-0.01636272366818613,250,1.0
20,10,-3.8063584490101503,0.47476063420385406,0.034910365064955685,0.030913881575857588,1,0.001
20,20,-5.048914670892584,0.37699775989180334,-0.8769478101349497,-0.016447439403569235,1,0.001
20,30,-6.212027635840537,0.35243622768654026,-1.8318472529924612,-0.05680844213965665,1,0.001
20,10,-3.770549822098972,0.4826082783251331,0.09269770902462719,0.03458534886969688,1,0.01
20,20,-5.104690006575462,0.3778482488527469,-0.9058480012797971,-0.01771863458701089,1,0.01
20,30,-6.16017000572349,0.34628295080493193,-1.7786635956074828,-0.054754692720174594,1,0.01
20,10,-4.022459984263245,0.4709925917325605,-0.03270892994680015,0.028927034504776173,1,0.1
20,20,-5.204841388004416,0.37345485695869934,-1.0754774873015562,-0.02303926767923547,1,0.1
20,30,-6.437136196186417,0.35364156030812255,-2.019935353604766,-0.06175198856346904,1,0.1
20,10,-4.851998557490216,0.43777143571220334,-0.8172070985906739,0.001360929366853143,1,0.5
20,20,-6.581907626391313,0.3826627528955144,-2.1913337522949896,-0.05930265330920416,1,0.5
20,30,-7.633844345946922,0.3916674751670497,-3.061896112607287,-0.09488768377209159,1,0.5
20,10,-6.6905289459668875,0.39246471921812026,-2.222876065167032,-0.04667132004085739,1,1.0
20,20,-8.943389421231975,0.398346398509035,-4.148164998605742,-0.12748867806940672,1,1.0
20,30,-10.425003812571639,0.46412623409753706,-5.251972341327486,-0.170098922904088,1,1.0
20,10,-3.9548989060287036,0.47490944112364597,0.08470783550633948,0.03395425960214823,10,0.001
20,20,-5.7879803575769095,0.335525970152062,-1.2489786809411505,-0.03079681414814376,10,0.001
20,30,-7.518853335318039,0.3094181296873183,-2.7655111102858667,-0.0872143591685731,10,0.001
20,10,-3.9720577870415164,0.47348404666514715,0.07797815028295471,0.033292233970100324,10,0.01
20,20,-5.802950970850487,0.33518539970672506,-1.268402705133314,-0.03143811732920755,10,0.01
20,30,-7.532405066759255,0.30870209568113965,-2.777842783455109,-0.08775632295626803,10,0.01
20,10,-4.061104615333592,0.469619191407417,0.025681413477046493,0.03248098518243468,10,0.1
20,20,-5.802724617029621,0.3379174659144046,-1.2963436052940567,-0.03241788141625675,10,0.1
20,30,-7.494508183535565,0.3165625690929987,-2.7805550173794122,-0.0879153691702115,10,0.1
20,10,-4.310784178564571,0.45177205281233446,-0.1698366198677928,0.023659876341850676,10,0.5
20,20,-6.234482968835861,0.3572307834745434,-1.6582972226313637,-0.04281378530589302,10,0.5
20,30,-7.939463949075737,0.35522359471317483,-3.073093135405412,-0.09527765675272078,10,0.5
20,10,-5.1033977573172615,0.4199243320648528,-0.8609027797172194,-0.006383597306916571,10,1.0
20,20,-7.672615361420926,0.3786445889759782,-2.8799949900647723,-0.08179786072839704,10,1.0
20,30,-9.261700540473914,0.4172978055983604,-4.10493895148465,-0.12877348954052492,10,1.0
20,10,-2.55380449970445,0.27480685074510597,-0.12301976962626562,-0.01460337658227786,50,0.001
20,20,-2.876562336081224,0.24670001242460954,-0.1143433631001178,-0.012628025615586038,50,0.001
20,30,-3.1124837998012413,0.25131880197000556,-0.1177056847976585,-0.011867245753570631,50,0.001
20,10,-2.55380449970445,0.27480685074510597,-0.12301976962626562,-0.01460337658227786,50,0.01
20,20,-2.8766534624178224,0.24670001242460954,-0.1143433631001178,-0.012628025615586038,50,0.01
20,30,-3.1140172487070497,0.2513188019700055,-0.1177056847976585,-0.011867245753570631,50,0.01
20,10,-2.5527427811613235,0.26719044369544015,-0.13214803548854817,-0.016848119606537572,50,0.1
20,20,-2.8500470054417653,0.24646184270613697,-0.1080554055616498,-0.01190183759215954,50,0.1
20,30,-3.1049331769777284,0.24992948549386393,-0.1164978335227594,-0.012042779416516387,50,0.1
20,10,-2.5362712731885395,0.257276449993449,-0.13394507347151782,-0.017218187852213525,50,0.5
20,20,-2.829271295755703,0.24333615943996628,-0.11341329349018639,-0.013123885496866956,50,0.5
20,30,-3.0789135002031864,0.24735836126427535,-0.11308122681822,-0.012200928397830038,50,0.5
20,10,-2.5390888461915226,0.257276449993449,-0.13394507347151782,-0.017218187852213525,50,1.0
20,20,-2.83048907754617,0.24176235820177294,-0.11488818886539127,-0.013371936785803482,50,1.0
20,30,-3.0780909601579665,0.24231085746967387,-0.11755311989206445,-0.012934935378517375,50,1.0
20,10,-2.537964387033295,0.24452996892278245,-0.14802929573711915,-0.019891865238412423,100,0.001
20,20,-2.845639783111939,0.22389650745609474,-0.13247577314627107,-0.016546900936714185,100,0.001
20,30,-3.098559385987367,0.23647713117897515,-0.13173146084802703,-0.01471748802307447,100,0.001
20,10,-2.5373598185872956,0.24452996892278245,-0.14802929573711915,-0.019891865238412423,100,0.01
20,20,-2.8419155668468545,0.22867095369127305,-0.12938538410487857,-0.01591072640100164,100,0.01
20,30,-3.0998146382494784,0.23647713117897515,-0.13173146084802703,-0.014717488023074474,100,0.01
20,10,-2.5572628966567255,0.24566898223985337,-0.14630984412082237,-0.019555866151409366,100,0.1
20,20,-2.833731654098316,0.23032556921567343,-0.1262309669361431,-0.015523938457836697,100,0.1
20,30,-3.070911660481544,0.23344871443060863,-0.1298284061512559,-0.015013801393437068,100,0.1
20,10,-2.534072582336935,0.24510771446178756,-0.14723357314445687,-0.019803529395980228,100,0.5
20,20,-2.8278493169848744,0.22377421507886086,-0.1303582123869694,-0.016460802398223028,100,0.5
20,30,-3.06928920653942,0.23482909016312728,-0.1278986027083524,-0.01468358979782466,100,0.5
20,10,-2.536496665730694,0.24510771446178756,-0.14723357314445687,-0.01980352939598023,100,1.0
20,20,-2.81821936057246,0.2175018611223516,-0.1363264685363449,-0.017534560449336635,100,1.0
20,30,-3.057678172081783,0.22419913858032864,-0.13775024105315753,-0.016375953541829743,100,1.0
20,10,-2.531437620949247,0.2454837014045892,-0.14619778587874416,-0.019588013786490742,250,0.001
20,20,-2.8379961535830907,0.22424346390719005,-0.13040142903997304,-0.01627681188516273,250,0.001
20,30,-3.0762629656422127,0.22761616902783519,-0.13795938188991286,-0.016203071329790913,250,0.001
20,10,-2.5317333332550556,0.2454837014045892,-0.14619778587874416,-0.019588013786490742,250,0.01
