k,m,u_mass,c_v,c_uci,c_npmi,alpha,eta
5,10,-2.67914680097511,0.404471186148642,0.0547959519514424,0.0191564225264589,1,0.001
5,20,-3.106471308220622,0.3834660432535358,0.062115792999879,0.0156419915077912,1,0.001
5,30,-3.354278996612879,0.3750508308841956,0.0175753403133674,0.0120099060166249,1,0.001
5,10,-2.9556631653870347,0.3584876422304905,-0.0220550888265811,0.0039577497622474,1,0.01
5,20,-3.1835439816746307,0.3322806557650896,-0.0418244121254079,0.003695788837014,1,0.01
5,30,-3.4487333978704555,0.3293409764604824,-0.0643967103407962,0.0030260115991802,1,0.01
5,10,-2.773402895503616,0.4012195145399961,0.0462451684723707,0.017534404527042,1,0.1
5,20,-3.0372857248319427,0.3344212379386953,0.000706098974971,0.0055429554935412,1,0.1
5,30,-3.319464108311009,0.3394381654163143,0.0096279893722139,0.0071120616277634,1,0.1
5,10,-5.814467491782255,0.3443498876923647,-1.2866556449381037,-0.0452133321146925,1,0.5
5,20,-6.036313832565402,0.3832912960701606,-1.225790410101551,-0.0391379196943137,1,0.5
5,30,-6.2761724334372415,0.4085249399193359,-1.2086932718153522,-0.0376226089944,1,0.5
5,10,-5.055324587721037,0.3443486546285903,-1.3959019555564975,-0.0410137166327643,1,1.0
5,20,-6.12373700370175,0.3778631025639924,-1.7662320802216882,-0.0563567056523763,1,1.0
5,30,-6.534789975823816,0.399987372351979,-1.67862089022841,-0.0539181687485666,1,1.0
5,10,-2.668862015742878,0.396067239757656,0.0572114392144468,0.0182208341735602,10,0.001
5,20,-3.0955435639598288,0.3495946108579637,0.0185684889800333,0.0089208441098869,10,0.001
5,30,-3.386102706124684,0.3722144958688942,0.0218555302192706,0.0126420543776865,10,0.001
5,10,-2.784182747747712,0.3574029500235379,-0.0293773189500309,0.0041731400869732,10,0.01
5,20,-3.103278954899252,0.3391992015135599,0.0061414666698233,0.0071505726213527,10,0.01
5,30,-3.3385649425348505,0.343402885823458,0.0147496533124621,0.0089393063481042,10,0.01
5,10,-2.965825948349317,0.3671906696537393,0.0010174918455499,0.0082355082461984,10,0.1
5,20,-3.110693589991236,0.3104642683644503,-0.08078556184908,-0.001631084965046,10,0.1
5,30,-3.2602482865475677,0.2986676496221713,-0.0707554469489733,-0.0033002101885787,10,0.1
5,10,-2.893212741373438,0.3524926325402487,-0.0491238904782028,0.0002649273181375,10,0.5
5,20,-3.1437353548228324,0.3118133498638553,-0.0327589613977435,0.0014200257657199,10,0.5
5,30,-3.426533854611422,0.3172022621617082,-0.0368606805041613,0.0018696602879037,10,0.5
5,10,-3.0092360176715665,0.3343926166905676,-0.095480468307545,-0.0080426849261177,10,1.0
5,20,-3.2186592762129638,0.3233147657559825,-0.0160757728135626,0.0037409796301178,10,1.0
5,30,-3.5432161916454183,0.3260384952590559,-0.0549899918327671,0.0044107646793754,10,1.0
5,10,-3.127611687709993,0.3662835449043841,-0.0455129838537049,0.0089995054796827,50,0.001
5,20,-3.3062632341883003,0.3539489553460468,-0.0531308707564082,0.007755387067045,50,0.001
